title,artist,catalogue,writer,publisher,theme
A Better World ,Sun Ra ,ED-367,Sun Ra 
She's Long and Tall ,Various Artists ,CED-228,
Chicken Hop 1958 (With The Dynamiters) ,Hasil Adkins ,CED281,H. Adkins
Twang ,Various Artists ,CED-235,
Bony Moronie ,The Sonics ,CNW-909,
Friday Night Dance Party ,Link Wray ,CED-253,
Bodine ,Bobby Fuller ,CED252,
I've Had Enough ,Various Artists ,ED 344,
Let Your Love Light Shine ,Various Artists ,CED-271,
Watch Your Step ,"Arch Hall, Jr. & The Archers ",CED307,
Lug Nuts ,The A-Bones ,CED-224,Miriam Linna
Bop It Rock ,Various Artists ,CED-314,Hobocl
El Paso Rock ,Long John Hunter ,CED270,Hunter
Owensboro Radio Spot ,The Dictators ,CED-319,
Better Be Good ,The Real Kids ,CED-266,J. Felice
Camel Walk ,Various Artists ,,Saxons
All In The Realm Of Death ,Sun Ra ,ED-365,Sun Ra 
Party ,Various Artists ,ED-371,Sims 
Bad Detective ,New York Dolls ,CED279,Leiber-Stoller
I Wish It Were Me ,Various Artists ,CED-234,
The Limp ,Various Artists ,CNW-907,
Hey Elly May ,The Untamed Youth ,CED-249,
"We're Gonna Get Married w/the 5, 6, 7, 8's ",The A-Bones ,CED-310,E. McDaniel
Long Time Ago ,Charlie Feathers ,CED-334,C. Feathers
Minnesota Strip ,The Dictators ,,A. Shernoff
Long Tall Sally ,Various Artists ,CED-228,
It's All Over Now ,The Alarm Clocks ,CED285,
Since I Last Saw You ,The Hentchmen ,CED-237,Nale-Fick-Silvis-Saunar
Oh No Daddy-O ,Various Artists ,CNW-911,
She Cried For Me ,The A-Bones ,CED-254,Benny Joy Eidson-John Taylor
Peggy Sue / Pamela ,Bobby Fuller ,CED260,
Blue Jean Man ,Various Artists ,ED 341,
Were-Wolf ,Various Artists ,CED-271,Kact-Ties
Bud & Steak Square Off ,"Arch Hall, Jr. & The Archers ",CED307,
Mum's The Word ,The A-Bones ,CED-224,Miller-Bennett
Dixieland Jamboree Intro ,Various Artists ,CED-314,Bolton
Crazy Like A Fox ,Link Cromwell & The Zoo ,CED273,
Faster And Louder ,The Dictators ,CED-319,A. Shernoff
Go Go Go ,Various Artists ,,
How Could Someone So Good (Turn Out So Bad) ,Benny Joy ,ED-350,Benny Joy Eidson-Gerald Nelson
Drive In ,A-Bones ,CED-310,Wilson 
WINS Jingle / Super Snooper Scope ,The Mad Daddy ,CED300,P. Myers
Gee But I Love You ,Hasil Adkins ,CED-201,H. Adkins
I Didn't Mean It ,Various Artists ,CED-226,
Hey Joe ,The Del-Tino's and The Hesitations ,CED-261,Roberts
I Don't Want Nobody ,Hasil Adkins ,CED-203,H. Adkins
Surfin' Fun ,Various Artists ,,
A Cosmic Dimension Of Music ,Sun Ra ,ED-366,Sun Ra 
Drag ,The Del-Aires ,ED-385,Jones-Linares 
Black Power Part Two ,T. Valentine ,CED280,Thurman Valentine
Shake Baby Shake ,Various Artists ,CED-236,
If You Want To Stay ,Various Artists ,CNW-908,
Rumble ,Link Wray ,CED-253,"F.L. Wray, Sr."
Moronic Inferno ,The Dictators ,DFFD-002,A. Shernoff
I've Paid My Dues ,Various Artists ,ED 342,
Midnight Sun ,"Dave ""Baby"" Cortez ",ED-380,Cortez 
I Wanna Know ,Various Artists ,CED306,
Roberta ,The Real Kids ,CED-222,
W.W. Johnson Auto Sales ,Various Artists ,CED-314,Bolton
Slash ,Long John Hunter ,CED270,Hunter
Flirty Baby #2 ,Link Wray ,CED-210,
Singing In The Rain ,Gino Washington ,CED-295,"George ""Gino"" Washington"
What's That Sound?! ,The Ding-Dongs ,CED - 357,
Still As the Night ,The Gaye Blades ,ED-368,Lee Hazlewood 
Railroad Drag ,Various Artists ,CED291,****
Ate The Phone ,The Hentchmen ,CED294,
Shankie ,Wade Curtiss & The Rhythm Rockers ,CED-258,Curtiss
Party Date ,Various Artists ,,Canida
He Sure Could Hypnotize ,The A-Bones ,CED-345,H. Abramson
My Baby Don't Care ,Jack Starr ,ED-204,J. Munsey 
A Certain Guy ,Mary Weiss ,Norton 45-132,
Dish Rag ,King Coleman ,CED298,Rozier
Wicked Woman #2 ,Various Artists ,CED-228,****
I Hate CD's ,Various Artists ,,
This Is Lonnie Lord ,Ron Haydock & The Boppers ,CED 247,Ron Haydock
Puppy Dog Love ,Bloodshot Bill ,ED-370,"Alves, East "
The Troubled Streets ,Various Artists ,ED-372,Thayer 
Crazy Woman ,Various Artists ,CED275,
Sorry 'Bout That ,Various Artists ,CED-234,
High Wall ,Various Artists ,CNW-907,
Rollerland ,The Untamed Youth ,CED-249,
The Sun Man Speaks (45 Version) ,Sun Ra ,CED-354,"Sun Ra, Yochanan "
Memory Of Memories ,Benny Joy ,ED-346,Benny Joy Eidson
Remember The Twist ,Link Wray ,,"F. L. Wray, Sr."
Garbage Man ,Various Artists ,CED305,
Gimme BackMy Ring ,Hasil Adkins ,CED-216,H. Adkins
Is Life Real ,Flat Duo Jets ,CED-241,Dex Romweber
Everybody's Girl ,The Real Kids ,CED267,J. Felice
Midnight Hour ,Question Mark & The Mysterians ,CED-262,
A Man In love ,Charlie Feathers ,CED-332,C. Feathers
Bucketful ,The Tandoori Knights ,CED - 363,
I've Had It ,The Rivieras ,CED-278,"C. Bonura, R. Ceroni "
I Ain't Guilty (With Rudy Ray Moore) ,Andre Williams ,CED288,
Twang ,Various Artists ,CNW912,
Slow Down ,The Hentchmen ,CED-257,Williams
I'm A Coward ,Gino Washington ,CED-268,"George ""Gino"" Washington"
Do You Wanna Dance ,Bobby Fuller ,CED 318,
Trouble Always Comes My Way ,Daddy Long Legs ,ED 382,M. Akturk-B. Hurd-J. Styles 
White Dove ,Hasil Adkins ,CED-239,
Buck Shot ,Various Artists ,CED296,
It's Music She Says ,Link Wray ,CED-210,
Judy Is A Punk ,Various Artists ,,Ramones
Tiger Man ,The Flamin' Groovies ,CED 243,Louis-Burns
Palace Of Love ,Various Artists ,ED-362,unknown 
Sweet Surfin' Little Girl ,Various Artists ,ED-374,Gonzales 
The Sadist ,"Arch Hall, Jr. & The Archers ",CED307,
In The Wind ,Hasil Adkins ,CED-232,H. Adkins
Hey Mama (Say Mama) ,Various Artists ,CED-320,
Diesel ,The Hentchmen ,CED245,The Hentchmen
Daybreaker ,Kim Fowley ,CED-355,"K. Fowley, S. Battin "
