title,artist,catalogue,writer,publisher,theme
Romeo ,Gino Washington ,CED-268,"George ""Gino"" Washington"
Skag ,Bobby Fuller ,CED 318,
The Gospel Will Speak ,Various Artists ,ED 360,Montgomery
"Introduction: Live At The Tacoma Sports Arena (November 27, 1964) ",The Sonics ,CNW 913,
You Went Away ,Various Artists ,CED296,B. Vidone
El Kabong ,The A-Bones ,CED-219,Bennett-Linna
Zippered Up Heart ,Various Artists ,,
I Can't Explain ,The Flamin' Groovies ,CED 243,Townshend
Suspicion ,King Uszniewicz And His Uszniewicztones/South Bay Surfers ,ED-359,"D. Pomus, M. Shuman "
Tickler ,Various Artists ,ED-374,Smith-Taylor 
Can't Believe You Wanna Leave ,Various Artists ,CED274,Price
Boo Boo The Cat ,Hasil Adkins ,CED-232,H. Adkins
My Little Mama ,Various Artists ,CED-320,G. Rambo
You Believe Everyone But Me #3 ,Charlie Feathers ,CED246,C. Feathers
I Saw Her First ,Kim Fowley ,CED-355,"B. Johnston, J. Cooper "
Nowhere ,Benny Joy ,ED-348,John Taylor
"Don't Call Us, We'll Call You ",Figures of Light ,ED-377,"Wheeler Dixon, Michael Downey "
Little Latin Lupe Lu ,Various Artists ,CED304,
Big City Stomp ,Link Wray ,CED-211,"F. L. Wray, Sr."
Rock It ,Flat Duo Jets ,CED-230,
Naked Sister ,The Hentchmen ,CED264,The Hentchmen
I'm Snowed ,The A-Bones ,CED-310,Joe South
Jungle Fever ,Charlie Feathers ,CED-334,
Intro ,The Dictators ,,A. Shernoff
Mind Over Matter ,Various Artists ,Norton/The Wind 002,Devora Brown 
Happens All The Time ,The Real Kids ,CED286,J. Felice
Never Met A Girl Like You Before ,The Hentchmen ,CED-237,R. Davies
Thunder Wagon ,Various Artists ,CNW-911,
Superman ,Dale Hawkins ,CED-256,
Donna ,Bobby Fuller ,CED260,
Walkin' The Dog (Live) ,The Flamin' Groovies ,CED 255,
Swing Shift ,The Wailers ,CNW 901,
Vickie ,"Arch Hall, Jr. & The Archers ",CED307,
Got It Made ,The Real Kids ,CED-231,J. Felice
My Last Dance With You ,Various Artists ,CED-317,
Kuk ,The Ready Men ,CED244,
Weekend ,The Dictators ,CED-319,A. Shernoff
March Of The Siamese Children ,Kim Fowley ,CED-356,"Rogers, Hammerstein "
I'll Never Have The One I Love ,Benny Joy ,ED-350,Benny Joy Eidson
One Mile ,A-Bones ,CED-310,Dugosh 
Peach Fuzz ,The Mad Daddy ,CED300,P. Myers
Can't Help It Blues ,Hasil Adkins ,CED-201,Hasil Adkins
Gimme The Keys ,Various Artists ,CED-226,
Pa Pa Ooh Mau Mau ,The Del-Tino's and The Hesitations ,CED-261,
Teenage Head w/Roy Loney ,The A-Bones ,CED-310,
Wild Track ,Various Artists ,,
Pretense Desires ,Sun Ra ,ED-366,Sun Ra 
You So Fine ,T. Valentine ,ED-387,"T. Valentine, M. Akturk, B. Hurd, J. Styles "
Chicken Walk 1955 ,Hasil Adkins ,CED281,Hasil Adkins
Blue Black Hair ,Various Artists ,CED-236,
Hold It ,The Sonics ,CNW-909,
It's Too Late ,Link Wray ,CED-253,
Daddy's Gonna Tell You No Lie (Unissued) ,Sun Ra ,CED-353,"Sun Ra, C. Orio, C. Barron "
If I Had You ,Benny Joy ,ED-347,Benny Joy Eidson
Mindblower ,Link Wray ,,"F. L. Wray, Sr."
I Don't Want To Find Another Girl ,Various Artists ,CED304,
C'mon Little Jenny ,Hasil Adkins ,CED-216,H. Adkins
Grave Robber ,Flat Duo Jets ,CED-241,Dex Romweber
September Gurls (Studio Rehearsal) ,Big Star ,CED265,Chilton
Up Side ,Question Mark & The Mysterians ,CED-262,Martinez
Honky Tonk Kind ,Charlie Feathers ,CED-333,***
Into Her Arms ,The Tandoori Knights ,CED - 363,
Let's Stomp #1 ,The Rivieras ,CED-278,Feldman-Gottehrer-Goldstein 
Your Stuff Ain't The Same ,Andre Williams ,CED288,Williams-Verta-Ray
It'll Be Me ,Hasil Adkins ,CED-239,
Moon Dawg ,Various Artists ,CNW912,
Four Eyed Buick ,The Hentchmen ,CED-257,The Hentchmen
Hot Rod Millie ,Various Artists ,,The Hentchmen
Headin' For The Texas Border (Demo) ,The Flamin' Groovies ,CED 243,Loney-Jordan
No Sorrow ,Various Artists ,ED-362,Sir Winston and the Commons 
Bony Moronie ,Terry Manning and The Wild Ones ,ED-374,Willaims 
Back In Business ,"Arch Hall, Jr. & The Archers ",CED307,
Do The Boob ,The Real Kids ,CED-231,J. Felice
C'mon Everybody ,Various Artists ,CED-320,
School's A Drag ,The Hentchmen ,CED245,The Hentchmen
Love Taker ,Hasil Adkins ,CED-217,H. Adkins
If I Only Hadn't Sinned (Unissued) ,Sun Ra ,CED-352,Sun Ra 
Crash The Party ,Benny Joy ,ED-346,Benny Joy Eidson-John Taylor
Baby Doll ,Link Wray ,,"F.L. Wray, Sr."
Splash Day ,Various Artists ,CED305,
Be-Bop-A-Lula ,Various Artists ,CED-312,
No Place Fast ,The Real Kids ,CED267,J. Felice
Make You Mine ,Question Mark & The Mysterians ,CED-262,Martinez
Pardon Me Mister ,Charlie Feathers ,CED-332,C. Feathers
I'm Alone ,The Girls At Dawn ,CED - 361,Girls At Dawn
Teen Angel ,Various Artists ,Norton/Massabesic105,
I Just Want Some Love ,The Mighty Hannibal ,CED290,John Watson
Number X ,The Sonics ,CNW 913,
Nursery rock ,Various Artists ,CNW912,
Hey Babe Let's Go Downtown ,Wade Curtiss & The Rhythm Rockers ,CED-258,Therrien
Today I Started Loving You Again ,Hasil Adkins ,CED-232,
Slow Down ,Various Artists ,,Williams
Bazooki ,Ron Haydock & The Boppers ,CED 247,
Kind Of A Drag ,King Uszniewicz And His Uszniewicztones/South Bay Surfers ,ED-359,J. Holvay 
You Hold My Letters Not Me ,Various Artists ,ED-374,Smith-Taylor 
Crazy Daisy ,Various Artists ,CED274,Sahm-Warner
Northwest Recorders Radio Spot #1 ,Various Artists ,CNW-906,
Crazy Heart ,Charlie Feathers ,CED246,C. Feathers
Night Life ,Link Wray ,CED-211,"F.  L. Wray, Sr."
Stuff Like That There (Unissued) ,Sun Ra ,CED-353,"R. Livingston, J. Evans "
Wild Wild Lover (Demo #1) ,Benny Joy ,ED-348,Benny Joy Eidson-John Taylor
You're Just Another Macaroon ,Figures of Light ,ED-377,"Winston Wheeler Dixon, Michael Downey "
Empty Heart ,Various Artists ,CED304,
Fuzzy And Wild ,Flat Duo Jets ,CED-230,
Poor Sherilee ,The Hentchmen ,CED264,The Hentchmen
Plumbing Stomp ,The Hentchmen ,CED-237,The Hentchmen
Hep Cat ,The A-Bones ,CED-310,L. terry
Charlie Feathers Interview Part Two ,Charlie Feathers ,CED-333,***
Can't Play It Safe ,John Felice & The Lowdowns ,CED-302,***
Do You Remember What You Did ,Various Artists ,Norton/The Wind 002,Nolan Strong 
She's Got Everything ,The Real Kids ,CED286,Ray Davies
"So Long, Goodbye ",Various Artists ,CNW-911,
Wish I Called Home ,Dale Hawkins ,CED-256,
Down To You ,The Real Kids ,CED-231,J. Felice
It's Love Come What May ,Bobby Fuller ,CED260,
Louie Louie (Live) ,The Flamin' Groovies ,CED 255,R. Berry
Snake Pit ,The Wailers ,CNW 901,Dangel-Greek
Brownsville Road ,"Arch Hall, Jr. & The Archers ",CED307,
Village Of Love/Going Back To The Village Of Love ,Various Artists ,CED-317,
Jack The Ripper ,The Ready Men ,CED244,"F. L. Wray, Sr."
Shumwaa ,Various Artists ,CED-228,
Quarter To Four ,Various Artists ,,
Six Long Weeks ,The A-Bones ,CED-345,Matthews-Woodard
Love Me Today ,Jack Starr ,ED-204,Jason Patrick Munsey 
Ramrod ,The Del-Tino's and The Hesitations ,CED-261,
Sleepin' With The TV On ,The Dictators ,CED-319,A. Shernoff
Dressed In Plaid ,King Coleman ,CED298,Coleman
Rockin' Robin ,Hasil Adkins ,CED-201,
Daddy Said ,Kim Fowley ,CED-356,A. Johnson 
Instead Of Me ,Benny Joy ,ED-350,Benny Joy Eidson
You're Gone ,A-Bones ,CED-310,Grayzell 
Moldy Basement ,The Mad Daddy ,CED300,P. Myers
Savage ,Various Artists ,CED-226,
Somebody's In Love (45 Version) ,Sun Ra ,CED-353,"L. Tolbert, R. Dancer "
Let's Be Friends ,Benny Joy ,ED-347,Benny Joy Eidson-John Taylor
Four Gray Walls ,Link Wray ,,
Night Of The Sadist ,Various Artists ,CED304,
Theme 2 ,Flat Duo Jets ,CED-241,Dex Romweber
She's A Mover (Studio Rehearsal) ,Big Star ,CED265,Chilton
River Of Jordan ,Hasil Adkins ,CED-239,
Don't Break This Heart Of Mine ,Question Mark & The Mysterians ,CED-262,Martinez
Give Me Back All The Love You Gave ,Charlie Feathers ,CED-333,C. Feathers
Big Belly Giant ,The Tandoori Knights ,CED - 363,
Mama Don't Allow ,The Rivieras ,CED-278,Traditional 
It's Gonna Work Out Fine (With Ronnie Spector) ,Andre Williams ,CED288,
Orbit ,Various Artists ,CNW912,
Old Enough To Drive ,The Hentchmen ,CED-257,The Hentchmen
No Fun No More ,The Real Kids ,CED-231,J. Felice
My Hot Mama ,Various Artists ,,Gittens
Rockin' Pneumonia and the Boogie Woogie Flu ,The Flamin' Groovies ,CED 243,
You Tore My Brain ,Various Artists ,ED-362,James Street Overpass 
Sweet Little Sixteen ,Terry Manning and The Wild Ones ,ED-374,Berry 
Monkey In My Hatband ,"Arch Hall, Jr. & The Archers ",CED307,
Reel And Rock With Me Baby ,Various Artists ,CED-320,Rambo
Brown Bomber ,The Hentchmen ,CED245,The Hentchmen
Honey Child ,Various Artists ,CED-227,
It's Lame ,Various Artists ,,Dixon-Downey
Don't Let Me Go ,Various Artists ,CED-910,
Born Bad ,Jack Starr ,ED-204,Jason Patrick Munsey 
Haunted Castle Party ,The Untamed Youth ,CED263,
Feelin' Fine ,The Alarm Clocks ,CED-321,Mike Pierce
I Wanna Be Your Favorite Pair Of Pajamas ,Andre Williams & Green Hornet ,CED299,Williams-Collins-Kroha
Slow Drag ,Link Wray ,CED-211,"F.  L. Wray, Sr."
Surf Pigs (Unissued) ,Kim Fowley ,CED-355,K. Fowley 
Come Back ,Benny Joy ,ED-349,John Taylor
Hep Cat ,A-Bones ,CED-310,Terry 
Gillette Razor ,The Mad Daddy ,CED300,P. Myers
Juvenile Delinquent ,Flat Duo Jets ,CED-230,
Arabian Caravan ,Various Artists ,CED-235,
Mama Rock w/Johnny Powers ,The A-Bones ,CED-310,J. Pavlik
Lonesome Whistle ,Charlie Feathers ,CED-334,
(I Live For) Cars And Girls ,The Dictators ,,A. Shernoff
Wild Little Willie ,Various Artists ,CED-228,
Tree Stump Cover Theme ,The Alarm Clocks ,CED285,Bruce Boem
Wailin' ,The Sonics ,CNW-909,
Crash The Party ,The A-Bones ,CED-254,Benny Joy Eidson-John Taylor
Oh Wendy (Let's Stay Out All Night) ,The A-Bones ,CED-224,Bennett-Miller
Guess We'll Fall In Love ,Bobby Fuller ,CED252,
Get Off My Back ,Various Artists ,ED 341,
Linda Lou ,Various Artists ,CED-271,R. Sharpe
Teenage Idol ,"Arch Hall, Jr. & The Archers ",CED307,
Fools Like Me ,Various Artists ,CED-314,
She's Not there ,Link Cromwell & The Zoo ,CED273,
El Kabong ,The A-Bones ,CED-219,Bennett-Linna
Romeo ,Gino Washington ,CED-268,"George ""Gino"" Washington"
Skag ,Bobby Fuller ,CED 318,
The Gospel Will Speak ,Various Artists ,ED 360,Montgomery
What'd I Say ,The Del-Tino's and The Hesitations ,CED-261,Ray Charles
Owensboro Radio Spot ,The Dictators ,CED-319,
You Went Away ,Various Artists ,CED296,B. Vidone
Rock House ,Flat Duo Jets ,CED-259,
Daddy Rollin' Stone ,Various Artists ,,
Let's Rock ,Various Artists ,CED-910,Reese
Oh Canada ,A-Bones ,CED-310,x
Record Acid Test ,The Mad Daddy ,CED300,Pete Myers
Rollin' Pin Mim ,Various Artists ,CED-227,
Little Marlene ,Various Artists ,CED-236,
Ellen Marie ,Hasil Adkins ,CED-203,H. Adkins
It's Lame ,Various Artists ,,Dixon-Downey
I Am Trying To Find Myself ,Sun Ra ,ED-365,Sun Ra 
I've Got My Eyes on You ,The Del-Aires ,ED-385,Burgess 
Seven Day Weekend ,New York Dolls ,CED279,
Intoxication ,Various Artists ,CNW-908,*****
She's So Satisfying ,The Untamed Youth ,CED-249,x
By The Lonesome River ,Hasil Adkins ,CED-217,H. Adkins
Jim Gordon Blues ,The Dictators ,DFFD-002,A. Shernoff
I'm Gone ,Various Artists ,ED 343,
Jose Meteres Theme ,Outcasts ,ED-378,Outcasts 
Ching Bam Bah ,Various Artists ,CED306,
When My Blue Moon Turns To Gold Again ,Various Artists ,CED-314,
Baby Baby ,The Church Keys ,CED-269,J. Byers
Cobra (Theme 2 Revisited) ,The Flat Duo Jets ,CED-250,Dex Romweber
Why Not Knock Yourself Off? ,Figures of Light ,CED-336,M. Downey
My Baby's Fine ,Roy Head And The Traits ,CED - 358,"Head-Gibson-Bolton-Frazier-Buie-Pennington
"
Baby Stop Your Crying (Acappella) ,Various Artists ,Norton/Massabesic105,
My Name Is Hannibal ,The Mighty Hannibal ,CED290,James T. Shaw
Dangerous Game ,Mary Weiss ,CED-323,Greg Cartwright
Don't Do That ,Stud Cole ,CED293,
Maxine ,Wade Curtiss & The Rhythm Rockers ,CED-258,Derwald-Curtiss
The Slop ,Hasil Adkins ,CED-216,H. Adkins
Oh Canada ,The A-Bones ,CED-310,x
Little Red Book ,Various Artists ,,Benny Joy Eidson
The Universe Is Endless ,Sun Ra ,ED-366,Sun Ra 
Please Don't Freeze ,T. Valentine ,ED-387,"T. Valentine, M. Akturk, B. Hurd, J. Styles "
Chicken Hop 1958 ,Hasil Adkins ,CED281,H. Adkins
You Weren't Using Your Head ,Various Artists ,CNW-908,****
Soul Train ,Link Wray ,CED-253,"F. L. Wray, Sr."
All Kindsa Girls ,The Real Kids ,CED-222,J. Felice
Only For You ,Bobby Fuller ,CED252,*****
Life Of My Own ,Various Artists ,ED 342,
Sammy Sue ,"Dave ""Baby"" Cortez ",ED-380,Cortez 
Don't Burn It ,Various Artists ,CED306,
Sinclair Gasoline ,Various Artists ,CED-314,Bolton
The Scratch ,Long John Hunter ,CED270,Hunter
TV Baby ,Link Wray ,CED-210,
Like My Baby ,Gino Washington ,CED-295,"George ""Gino"" Washington"
Until I Die ,The Ding-Dongs ,CED - 357,
Pretty Boy ,The Gaye Blades ,ED-368,J. Swilley 
Big Time Mama ,Various Artists ,CED291,Sysum
Please Tell Me ,Various Artists ,CED - 287,Fox-Miller
Straight Up ,The Hentchmen ,CED294,****
TV Mama ,Flat Duo Jets ,CED-259,
"Oh That's Good, No That's Bad ",Various Artists ,CED-234,
My Way ,The Real Kids ,CED-266,
99 Chicks ,Ron Haydock & The Boppers ,CED 247,Ron Haydock
Be Mine Tonight ,Bloodshot Bill ,ED-370,Bloodshot Bill 
The Shadow Dance ,Various Artists ,ED-371,Garmon 
Babylon ,New York Dolls ,CED279,
My Woman ,Various Artists ,CNW-907,
She Cares ,The Untamed Youth ,CED-249,
Lonely Is My Name ,Hasil Adkins ,CED-217,H. Adkins
Teenager's Letter Of Promises (45 Version) ,Sun Ra ,CED-352,"J. Rogers, L. Hollings "
Wild Wild Lover ,Benny Joy ,ED-346,Benny Joy Eidson-John Taylor
And I Love Her ,Link Wray ,,Lennon-McCartney
My Kinda Woman ,Various Artists ,CED305,
This Feeling Is Killing Me ,Various Artists ,CED-312,McCall
It's Been Real ,The Real Kids ,CED267,J. Felice
I Need Somebody ,Question Mark & The Mysterians ,CED-262,Martinez
I Want To Love You ,Charlie Feathers ,CED-332,C. Feathers
Evil One ,The Girls At Dawn ,CED - 361,Girls At Dawn
Since I Met You Baby ,Various Artists ,Norton/Massabesic105,Ivory Joe Hunter 
Somebody In The World For You ,The Mighty Hannibal ,CED290,James T. Shaw
Tough Walk ,The Sonics ,CNW 913,
Plastic Coat ,Various Artists ,CNW912,
Surfin' Bird ,Wade Curtiss & The Rhythm Rockers ,CED-258,Frazier-White-Wilson-Harris
She Goes Like This ,Hasil Adkins ,CED-232,H. Adkins
Rockin' The Joint ,Various Artists ,,Eskew Reeder
Shakin' All Over ,The Flamin' Groovies ,CED 243,Heath
Party Lights ,King Uszniewicz And His Uszniewicztones/South Bay Surfers ,ED-359,C. Clark 
Black Out ,Various Artists ,ED-374,Smith-Taylor 
More & More ,Various Artists ,CED274,Sahm-Reed
Bad Times ,Various Artists ,CED-320,Lipscomb
When You Decide ,Charlie Feathers ,CED246,*****
Rumble Rock ,Link Wray ,CED-211,"F.L. Wray, Sr."
Late Late Show ,Kim Fowley ,CED-355,"Fowley, Glikmann, Gaines "
Crash The Party (long version) ,Benny Joy ,ED-348,Benny Joy Eidson-John Taylor
Don't Need No Job ,A-Bones ,CED-310,"Parsons, Hinkle "
All I Ask ,Various Artists ,CED304,
My Love Is True ,Flat Duo Jets ,CED-230,
West Side Brat ,The Hentchmen ,CED264,The Hentchmen
Get Outta My Way ,The Hentchmen ,CED-237,The Hentchmen
Bad Boy ,The A-Bones ,CED-310,Williams
Frankie And Johnny ,Charlie Feathers ,CED-334,
"New York, New York ",The Dictators ,,A. Shernoff
I Want to Be Your Happiness ,Various Artists ,Norton/The Wind 002,
Where I Wanna Be ,The Real Kids ,CED286,J. Felice
Dirty Robber ,Various Artists ,CNW-911,
On Account Of You ,Dale Hawkins ,CED-256,
She's Alright ,The Real Kids ,CED-231,J. Felice
Saturday Night (Alternate Take) ,Bobby Fuller ,CED260,
I'm A Man (Live) ,The Flamin' Groovies ,CED 255,E. McDaniel
Tough Bounce ,The Wailers ,CNW 901,
Girl Bait ,"Arch Hall, Jr. & The Archers ",CED307,
I Had A Dream ,Various Artists ,CED-317,
Moon Dawg ,The Ready Men ,CED244,
Weepin' and a Wailin' ,Various Artists ,CED-228,
Sweet Little Rock And Roller ,The Flamin' Groovies ,CED 297,C. Berry
Granny Tops 'Em At the Hop ,The A-Bones ,CED-345,David Brown
Show Me What You Do ,Jack Starr ,ED-204,J. Munsey 
Cheatin' ,The Del-Tino's and The Hesitations ,CED-261,
Faster And Louder ,The Dictators ,CED-319,A. Shernoff
Down In The Basement ,King Coleman ,CED298,Coleman
I'm Happy ,Hasil Adkins ,CED-201,H. Adkins
Gone ,Kim Fowley ,CED-356,"B. Johnston, T. Melcher "
Only Time Will Tell ,Benny Joy ,ED-350,Benny Joy Eidson
Mama Rock ,A-Bones ,CED-310,Pavlik 
Round Sounds ,The Mad Daddy ,CED300,P. Myers
Baby Baby Baby ,Various Artists ,CED-226,
Easy Rhythm ,Various Artists ,CED-236,
Chicken Twist ,Hasil Adkins ,CED-216,H. Adkins
Dreaming (45 Version) ,Sun Ra ,CED-353,"Sun Ra, C. Orio, C. Barron "
Money Money ,Benny Joy ,ED-347,John Taylor
My Box Rocks ,Figures of Light ,ED-377,"Winston Wheeler Dixon, Michael Downey "
I'm Blue ,Various Artists ,CED304,*******
That's The Way I Love ,Flat Duo Jets ,CED-241,Johnny carroll
In The Street (Studio Rehearsal) ,Big Star ,CED265,Bell-Chilton
Will You Miss Me ,Hasil Adkins ,CED-239,
Don't Need No Job ,The A-Bones ,CED-310,Parsons-Hinkle
I Can't Seem To Remember To Forget ,Charlie Feathers ,CED-333,C. Feathers
Dress On ,The Tandoori Knights ,CED - 363,
Peggy Sue ,The Rivieras ,CED-278,"J.Allison, N. Petty , B. Holly "
The Lie ,Andre Williams ,CED288,Williams-Verta-Ray-Miller
Lonely Playboy ,Various Artists ,CNW912,
Red Hot Car ,The Hentchmen ,CED-257,Holiday-Verne
Jeannie Jeannie Jeannie ,The Real Kids ,CED-231,
A Cutie Named Judy ,Various Artists ,,J. McCain
Happy For Your Face ,The Flamin' Groovies ,CED 243,Loney
I Can't Go On ,Various Artists ,ED-362,Fanatics 
Mathilda ,Terry Manning and The Wild Ones ,ED-374,Khoury-Thierry 
Run Vickie Run ,"Arch Hall, Jr. & The Archers ",CED307,
My Babe ,Various Artists ,CED-320,Dixon
Scare Tactic ,The Hentchmen ,CED245,The Hentchmen
Hold On Tight ,Various Artists ,CED-227,
Disintergration ,Various Artists ,,Ready
I'm Leaving Town Baby ,Various Artists ,CED-910,
Done Away With the Mean Old Blues ,Jack Starr ,ED-204,J. Munsey 
Charlena ,The Untamed Youth ,CED263,
You're Everything To Me ,The Alarm Clocks ,CED-321,Mike Pierce
I Don't Know Why ,Andre Williams & Green Hornet ,CED299,Williams-Green Hornet
This Thing Called Love ,Esquerita ,CED-202,Eskew Reeder
Geronimo ,Kim Fowley ,CED-356,N. Venet 
Hey…High School Baby ,Benny Joy ,ED-349,Benny Joy Eidson
Bad Boy ,A-Bones ,CED-310,Williams 
Wavy Gravy Flow ,The Mad Daddy ,CED300,P. Myers
No Greater Love ,Flat Duo Jets ,CED-230,
Last Dance ,Various Artists ,CED-235,
Stop It Baby w/Roy Loney ,The A-Bones ,CED-310,Capli
Out Of This World ,Various Artists ,,"George ""Gino"" Washington"
Know What It's Like On My Planet ,Sun Ra ,ED-367,Sun Ra 
Shumwaa ,Various Artists ,CED-228,
Chicken Hunch 1999 ,Hasil Adkins ,CED281,Hasil Adkins
Lucille/Slippin' And Slidin' ,The Sonics ,CNW-909,
Bundle Of Love ,The A-Bones ,CED-254,Benny Joy Eidson
Teenage Mummy Radio Spot #1 ,The A-Bones ,CED-224,Miller-Bennett-Linna-Natale-Espensen
Unreliable Irresistable Girl ,Bobby Fuller ,CED252,
Hey Baby ,Various Artists ,ED 341,
Dog Fight ,Various Artists ,CED-271,DeTrano
Wild Guitar ,"Arch Hall, Jr. & The Archers ",CED307,
Tom Dooley Rock And roll ,Various Artists ,CED-314,
Gross Man ,Link Cromwell & The Zoo ,CED273,Lenny Kaye
I've Fallen (And I Can't Get Up) ,The A-Bones ,CED-219,Bennett-Miller
Come Monkey With Me ,Gino Washington ,CED-268,"George ""Gino"" Washington"
Saturday Night ,Bobby Fuller ,CED 318,
Wolf-Tex Boogie ,Various Artists ,ED 360,Greene
Do It If You Wanna ,The Del-Tino's and The Hesitations ,CED-261,
TGIF (Thank Goodness It's Friday) ,Various Artists ,CED - 287,D. Brown
Weird ,Various Artists ,CED296,****
"2,000 lb. Bee ",Flat Duo Jets ,CED-259,
Hello Lucille Are You A Lesbian? ,Various Artists ,,Thurman Valentine
Ducks Flying Backwards ,Various Artists ,CED-910,
Hittin' On Nothing ,Esquerita ,ED-381,Naomi Neville 
Four Button Idiots ,The Mad Daddy ,CED300,P. Myers
Gangwar (fast version) ,Various Artists ,CED-227,Maltais
Have A Good Time ,Various Artists ,CED-236,H. Butler
Midnight Moan ,Hasil Adkins ,CED-203,Hasil Adkins
Disintergration ,Various Artists ,,Potter
I Am Strange ,Sun Ra ,ED-365,Sun Ra 
Zip-a-Dee-Doo-Dah ,The Del-Aires ,ED-385,Wrubel-Gilbert 
Who Are The Mystery Girls? ,New York Dolls ,CED279,
That's Where They Meet ,Various Artists ,CNW-908,
Haulin' Honda ,The Untamed Youth ,CED-249,
I Had A Dream About You ,Hasil Adkins ,CED-217,Hasil Adkins
Daddy's Gonna Tell You No Lie (45 Version) ,Sun Ra ,CED-352,"Sun Ra, C. Orio, C. Barron "
Fun And Games ,Various Artists ,ED 343,
If You Wanna Be Happy ,Outcasts ,ED-378,F. Guida 
You're On My Mind ,Various Artists ,CED306,
Lucky Lucky Me ,Various Artists ,CED-312,McCall
Overboard ,The Church Keys ,CED-269,Crawford
Blackbeard ,The Flat Duo Jets ,CED-250,Dex Romweber
I Got Spies Watching You ,Figures of Light ,CED-336,Downey
Summertime Love ,Roy Head And The Traits ,CED - 358,Head-Gibson-Bolton-Frazier-Buie-Pennington
I Can't Forget (Acappella) ,Various Artists ,Norton/Massabesic105,
I Need A Woman ('Cause I'm A Man) ,The Mighty Hannibal ,CED290,Harris-Shaw
I Just Missed You ,Mary Weiss ,CED-323,Andy Robertson
The Devil's Comin' ,Stud Cole ,CED293,
Vulture Rock ,Wade Curtiss & The Rhythm Rockers ,CED-258,Curtiss
Donut Run ,The A-Bones ,CED-233,Bennett
I Want To Be Your Boyfriend ,Various Artists ,,Ramones
Be-Bop-A-Jean (Alternate. take) ,Ron Haydock & The Boppers ,CED 247,Ron Haydock
Heart Of Stone ,Coba Seas (feat. James Williamson) ,ED-364,"Jagger, Richards "
Black Cadillac ,Various Artists ,ED-372,Wallace 
Where Have You Gone To ,Various Artists ,CED275,
Chitlins Con Carne ,Various Artists ,CNW-906,
Wide River ,Charlie Feathers ,CED246,C. Feathers
Renegade ,Various Artists ,CED-228,Carter
Let Me Rock ,The Flamin' Groovies ,CED 297,Jordan-Wilson
I Fought The Law ,Bobby Fuller ,CED 318,S. Curtis
How Much Do You Miss Me ,Various Artists ,ED 360,H. Stone-S. Herron 
Night Life ,The Del-Tino's and The Hesitations ,CED-261,
Baby Let's Twist ,The Dictators ,CED-319,A. Shernoff
Believe It Or Not ,King Coleman ,CED298,Coleman
We Got A Date ,Hasil Adkins ,CED-201,Hasil Adkins
Busy Body ,Various Artists ,,
Follow Your Heart ,Benny Joy ,ED-350,Benny Joy Eidson
Stop It Baby ,A-Bones ,CED-310,Capli 
Teenage Special ,The Mad Daddy ,CED300,P. Myers
Dizzy Guitar ,Various Artists ,CED-226,
Theme From A Fireplace ,Various Artists ,CED-236,
The Wild Man ,Hasil Adkins ,CED-203,Hasil Adkins
Surfin' Crow ,Various Artists ,,****
There Is Music Everywhere ,Sun Ra ,ED-366,Sun Ra 
The Vampire ,T. Valentine ,ED-387,T. Valentine 
Little Lu-Lu Frog ,T. Valentine ,CED280,Thurman Valentine
Long Dark Collar ,Various Artists ,CNW-908,****
Street Fighter ,Link Wray ,CED-253,"F. L. Wray, Sr."
Rave On ,The Real Kids ,CED-222,
You're In Love ,Bobby Fuller ,CED252,
She's So Satisfyin' ,Various Artists ,ED 342,x
Let's Do a Slow Dance ,"Dave ""Baby"" Cortez ",ED-380,"Cortez, Collins "
Half Peeled Banana ,Various Artists ,CED306,
Eddie Bond Lemon Oil Furniture Polish ,Various Artists ,CED-314,Bolton
Strange Feeling ,Long John Hunter ,CED270,Adams
Sleep Tight ,Link Wray ,CED-210,"F. L. Wray, Sr."
My Man ,Gino Washington ,CED-295,
She's A Tiger ,The Ding-Dongs ,CED - 357,
His Girl ,The Gaye Blades ,ED-368,J. Swilley 
Why Did You Leave Me Baby? ,Various Artists ,CED291,
Surprise Surprise ,Various Artists ,CED - 287,Jagger-Richards
Brain Power ,The Hentchmen ,CED294,***
Lucky Pierre Time ,Wade Curtiss & The Rhythm Rockers ,CED-258,Curtiss
Like You Used To ,Various Artists ,CED-234,
Do The Boob ,The Real Kids ,CED-266,J. Felice
Bop Hop ,Ron Haydock & The Boppers ,CED 247,Ron Haydock
My Brand Of Blues ,Bloodshot Bill ,ED-370,M. Rainwater 
Sarah Jane ,Various Artists ,ED-371,Orr 
Pills ,New York Dolls ,CED279,E. McDaniel
Think ,Various Artists ,CNW-907,
Drag Race Tragedy ,The Untamed Youth ,CED-249,
Blue Suede Shoes ,Hasil Adkins ,CED-216,C. Perkins
Muck Muck (45 Version) ,Sun Ra ,CED-354,"A. Abraham, Sun Ra, Yochanan "
Bundle Of Love (Demo) ,Benny Joy ,ED-346,Benny Joy Eidson
XKE ,Link Wray ,,
Never Again ,Various Artists ,CED305,
I Want To Know ,Various Artists ,CED-312,Dell
Small Town ,The Real Kids ,CED267,J. Felice
Why Me ,Question Mark & The Mysterians ,CED-262,Martinez
Dig Myself A Hole ,Charlie Feathers ,CED-332,
Reach Me (Don't Forget) ,The Girls At Dawn ,CED - 361,Girls At Dawn
I'm Lookin' for Someone to Love ,The Rivieras ,CED-278,"B. Holly, N. Petty "
